term_str,PC1,PC2,PC3,PC4,PC5
accommodated,0.00037044981080845295,-7.65736462121866e-05,-0.0002215381961174475,0.0005694915874690131,-0.00034139087813372097
accommodation,-0.0005140643792785704,-0.0011181849374466751,-0.0016498368286391198,-0.0013453289381089141,-0.0005381851535028052
accompanied,0.0057633645026583195,-0.0010281858628613505,0.0037644589436975876,-0.0004498826137932674,7.233945363722433e-05
accompanies,0.00039345696427162775,7.238436719148375e-05,-7.15972483789934e-05,-5.307324070989444e-05,0.0003737429252773006
accompaniment,-0.00013000722757536197,-0.00027081925601379957,-0.00017064669522040877,2.0179267201528466e-05,-0.000464820685893115
accompany,0.005543802330389564,-0.000617944551810807,0.0022000400685636026,-0.0009926441701551152,-0.00010198296789353362
accompanying,-0.0011393479003375178,-0.002742378161147392,0.0020372449181474566,-0.004197948825524762,0.0023272865526014347
accomplice,-0.0005618998837928373,-0.00014213394718689548,-0.0008776607275620276,-7.062759140282493e-05,7.391303739759456e-05
accomplish,0.003670881453429332,0.0004433707571518258,0.0004445676092340187,0.0032477824065175057,-0.002707719671276768
accomplished,0.00499970322859742,-0.0006484935645542045,0.0003624815240097875,0.0005060728879858425,-0.0027848130331875505
accomplishes,1.9563057259043155e-05,-2.7936793667122527e-05,-6.816919154960637e-05,-0.0001216015706601965,-7.556573227709233e-05
accomplishing,0.0018062045048368816,0.00023604295309828443,-1.1104815251965089e-05,2.2517698803192576e-05,-0.00037148428689062237
accomplishment,0.00104767002949804,8.887310673805414e-06,-2.4539547779852904e-05,0.00023687522975398916,-0.0006072086656513808
accord,0.0029623370485130636,0.00028972886075663405,-0.000546329127626366,-0.000860731264119279,-0.0007641211644064708
accordance,0.0039395670107204355,0.0007459156059434146,-0.0009767819366437083,-4.6089911849972176e-05,0.005283526667889056
accorded,0.004891346757056184,0.0004885896517719679,0.0006915653178315971,0.0002888404408501653,-0.0006480053169701195
according,-8.516501400798404e-05,-0.00190932397221637,-0.0003737800530012664,-0.004989543908667737,-0.004380843301884567
accordingly,0.0008786045066182278,-0.00011703334944864895,-0.0012883197960850319,-0.003652737389797837,-0.0014113601572789676
accordion,-0.00010192036490903101,-9.348015834284352e-05,-6.136380503096206e-05,0.00011209149524089339,-0.0001113544167820618
accost,-7.64194728119001e-05,-5.689462529886782e-05,-8.454515590924569e-05,-6.361105162676546e-05,-1.5972710463259688e-05
accosted,0.0005644464620534921,0.00013480247582930554,-0.0003949652650567835,-0.00021070440482900212,0.00033943880854631796
account,0.005787444107836152,0.001477251859368034,3.38202910863128e-05,-0.0027775275919115928,-0.004708085787248805
accountant,-0.00048737333783396353,-0.0003063590619658212,-0.0004464763793484364,-0.0002241979589785479,-1.0130355588896886e-05
accounted,0.0036473390469891217,0.0017956325931461734,0.0007983455944279631,0.0003699553798163499,-0.00201658540908476
accounting,0.0005262783700635732,2.742268734985207e-05,-0.000688341074541783,-0.0001300520207156404,0.0016981504196753308
accouterment,0.002221108800101264,0.0006779414936417679,0.000278727938236188,0.0012341735505908566,0.002974641039826783
accoutred,0.0003866504066591803,0.00011313597759912025,6.43370423047315e-05,0.0002129972165518579,0.00037032471024442447
accoutrement,0.0018739714268412614,0.0005714806058176662,0.00026552295054081096,0.0010363522111654136,0.00227372050803372
accredited,-0.001069427692568204,-0.001161408393570425,-0.0014390066145012858,-0.0028952654863854126,0.0013448136903964705
accretion,-0.000742160799967606,0.0007136941172382464,-3.863016135791882e-05,-0.0006667439298864734,0.0005380609689153384
accrue,0.00024787196367598226,-3.836329375506479e-05,0.0001009214377630565,-8.850801669240206e-05,0.00014482644612734877
accruing,3.7780405653991958e-06,-1.7606679091443608e-05,-6.43346075627311e-05,-0.00014108540956698031,-1.777076760906159e-05
accumulate,-0.0011044092844919408,-0.0004651470011253054,-0.0009648438542635538,-0.0002566058398742288,-0.00035598846238083984
accumulated,0.0005287487010416598,-0.0003829969159957909,-0.0008850369546179834,-0.0017484880378582843,-0.0014159137991172183
accumulating,2.1118508301578383e-05,-4.120672535493582e-05,-0.00011988650245123676,-0.00023767336114048922,-8.444879767488411e-05
accumulation,0.001377041515701709,0.001129477046741082,0.0003140969423466796,-0.0001318400434408444,-0.0006906608631461059
accumulator,-0.0020911174302232086,-0.0018797471291746286,-0.0068152673763768,-0.010691652842224345,0.002387020414029012
accuracy,0.0014171929218975946,-0.0005660871294072855,-0.0015166043388493524,-0.0003305662329406329,-0.00028150433094550046
accurate,0.0004913639097664775,-0.0010073642235157842,0.0025330728688828445,-1.3039327209132866e-05,-0.0009563516111606463
accurately,-0.00012147753682035007,0.0004276506614341411,0.0004714864503744433,-0.0002393033171931743,-0.0004546170649107537
accursed,0.0008102858595975853,0.0001115247489465136,-0.00018108404752690977,-0.000265302573516587,0.0007288394793635863
accurst,0.00011905131934591056,2.2651251996210073e-05,-4.3541073585583965e-05,-0.00011541288625381186,0.0002489781519972268
accusation,-0.002257479637752019,0.0018329181622217996,7.609314033119308e-05,-0.0011041911897000046,0.0021389397796284628
accuse,-0.0007868274224259499,0.0004925703874118115,0.0009878123060429295,-0.0003597517710794758,-1.3020069534960576e-05
accused,-0.0013136283556110812,-0.0015182033253177871,-0.002036030432604425,-0.0031544135712163247,0.0020020774056652203
accuser,-0.0002861609654197412,0.0007756564835883211,0.0002553987196527354,0.00015346688470335774,-0.00014932055386322448
